name,level,provience
北京航空航天大学,A,北京
北京邮电大学,A,北京
上海交通大学,A,上海
南京大学,A,江苏
华中科技大学,A,湖北
电子科技大学,A,成都
北京交通大学,A-,北京
北京理工大学,A-,北京
东北大学,A-,辽宁
吉林大学,A-,辽宁
同济大学,A-,上海
中国科学技术大学,A-,安徽
武汉大学,A-,武汉
中南大学,A-,湖南
西安交通大学,A-,陕西
西北工业大学,A-,陕西
西安电子科技大学,A-,陕西
中国人民大学,B+,北京
北京工业大学,B+,北京
北京科技大学,B+,北京
南开大学,B+,天津
天津大学,B+,天津
大连理工大学,B+,辽宁
哈尔滨工程大学,B+,黑龙江
复旦大学,B+,上海
东南大学,B+,江苏
南京航空航天大学,B+,江苏
南京理工大学,B+,江苏
杭州电子科技大学,B+,浙江
合肥工业大学,B+,安徽
厦门大学,B+,厦门
山东大学,B+,山东
湖南大学,B+,湖南
中山大学,B+,广东
华南理工大学,B+,广东
四川大学,B+,四川
重庆大学,B+,重庆
西南交通大学,B+,四川
重庆邮电大学,B+,重庆
天津理工大学,B,天津
山西大学,B,山西
大连海事大学,B,辽宁
长春理工大学,B,吉林
哈尔滨理工大学,B,哈尔滨
燕山大学,B,河北
华东理工大学,B,上海
上海大学,B,上海
苏州大学,B,江苏
中国矿业大学,B,江苏
河海大学,B,江苏
江苏大学,B,江苏
南京信息工程大学,B,江苏
浙江工业大学,B,浙江
安徽大学,B,安徽
中国海洋大学,B,山东
中国地质大学,B,湖北
武汉理工大学,B,武汉
暨南大学,B,广东
深圳大学,B,广东
西南大学,B,重庆
